10.192.43.84, 2016-02-25 17:16:59, GET, /, HTTP/1.1, 303, 0.003459
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.259228
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000793
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000521
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001013
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001688
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001856
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000441
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004063
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003206
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002559
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005171
10.192.43.84, 2016-02-25 17:16:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000903
10.192.43.84, 2016-02-25 17:17:00, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000424
10.192.43.84, 2016-02-25 17:17:00, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000339
10.192.43.84, 2016-02-25 17:17:00, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001643
10.192.43.84, 2016-02-25 17:17:00, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001158
10.192.43.84, 2016-02-25 17:17:00, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000911
10.192.43.84, 2016-02-25 17:17:21, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.102600
10.192.43.84, 2016-02-25 17:17:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
10.192.43.84, 2016-02-25 17:17:33, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.004735
10.192.43.84, 2016-02-25 18:28:04, GET, /, HTTP/1.1, 303, 0.004201
10.192.43.84, 2016-02-25 18:28:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.182357
10.192.43.84, 2016-02-25 18:28:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001062
